chunk3360 我这儿把电池放里面它怎么显示换电失败是怎么回事
chunk5061 我电动车充电好多次都是都是显示故障但是费议我扣掉了然后也没充电我不知道是什么是充电桩的问题还是什么但有的时候也能充进去
chunk5985 电柜怎么买来换不了线能不能处理一下
chunk7374 电池如果买了一个月的然后它不是有线材嘛它线材是需要另外单独买吗
chunk2493 充电的电桩我投了钱没用投了两块钱钱也不出来也不给我充电咋办
chunk640 我买了一个这锂的套餐然后它不出我买的线然后它不出线
chunk8428 我不是用这里换电嘛然后我现在电动车被偷了然后你那电池也在上面呢那我现在是想说你能定位吗
chunk5778 他是按啥算的是吧按TI假如你休假了然后他就不扣我如果说不休假是一样的是吧
chunk2402 我买那个套餐有没有送插头啊
chunk7952 我刚才换电池显示我这边换电开不了门
chunk529 我是刚拉了一个人然后呢他扫我码然后扫不成功为什么对方的显手机好像显示什么手机拉满什么意思
chunk6238 只是逾期
chunk973 我要货电池挡住一下
chunk3165 电池吞了我一块电池出不了电我现在单子全部超时了
chunk6540 我电池放里面不出电池
chunk3247 我不是租电池嘛对吧要押金然后我支付宝支付的时候他居然扣了两次五百
chunk3827 我电池一点电都没有了然后换电柜没有满电你帮我打开换一下好吗
chunk5109 电池的话是多少块的
chunk6481 我之前寄存的几天的天数然后给我抹掉了然后之前跟客服报备了然后说了他会给我搞上来你看一下看我寄存了天数直接没了
chunk1940 拉新的是1511
chunk3038 我刚才把电池放进去了他现在没给我吐新电池
chunk4689 帮我开一下电呢
chunk6013 边有个电池在里面然后它有两个空位置然后我在扫的时候它空位置就没有了就出来就出现另外一个空位置出来了说我电池在里面出不来不到了
chunk4490 这锂换电我是从九月一号开始租的上面显示的明天还有一天后天又要续费是怎么回事
chunk4061 我现在电池状态是寄存中还是怎么回事
chunk20 我注册人的号码我就搞忘了不记得了怎么办
chunk5448 你这电瓶老是站的跑不起来
chunk2942 我刚才第一次免费申领线材那没有线没出来
chunk7302 我现在电池我要退掉了
chunk3177 咱们这里是刚推出四十八Max的电池是吗
chunk6102 我的电池刚才寄存了已经进去了但是我刚才一看他还在十分钟是怎么回事呀
chunk3078 不是我电池然后锁到这里面了
chunk4740 哪里有个方格就放电池的柜子吗
chunk8239 我昨天晚上充电三块钱上面显示的是十二个小时咋充了四个小时就断了
chunk5772 我刚退押金了我想注销账户然后的话一直退不了你们帮我操作一下嘛
chunk197 我这边那些电池是不是插头有问题为什么一直怼不进去的呢
chunk3802 我是新用户我扫描取线材他没有给我没有线才掉下来
chunk2662 电池吃了在庆福苑电池塞进去没有反应不弹出来
chunk6782 我现在尾号是015033我是今儿刚用我怎么扫线呀
chunk4019 摩根空间充电桩为什么老是没电
chunk649 麻烦你帮我查一下1381964306的用你们这锂换电的帮我查一下好吗
chunk4240 我上次充的套餐还没用完那钱怎么退给我的
chunk7786 我开了深圳的套餐但是在东莞第一次取电取不了
chunk1157 我电池放进去了旧电池放进去了但是新对池的柜门没弹开
chunk81 我两个电池都是没电了然后他就一直换六号、七号六号、七号不能换到别的去了吗
chunk7066 我是一个外卖骑手然后我用的这锂换电的租电的套餐是三十天的您这边电池寄存如果说我寄存的话他时长你怎么扣
chunk1318 我取线材扫码了他没出来
chunk1094 我们这边小区他是不是他是不是充电没开
chunk7024 吞电池了你给查一下
chunk3487 这边福建连江县二建鼎城这边充电桩不行
chunk668 没写然后他是152
chunk5222 为什么我换电为什么我电池插进去然后它显示不成功呢等于我不享有
chunk852 电瓶车充一半他电断了能不能帮我退一下款呢
chunk5716 我昨天晚上九点二十充的电我到早晨拔下没拔过插头他早晨显示怎么没充满就充了二十分钟的电
chunk2411 刚刚买了个线不出来哇
chunk1771 他退押金输入他让我输入支付宝账户是输入我的手机号还有姓名就行了还是支付宝账户是啥意思
chunk1591 13520887129
chunk4328 我回家过年嘛之前呢你们三个月怎么被项目吃掉了钱
chunk293 我电池今天好像跟别人一起淘嘛然后一起淘嘛然后拿错了我拿着他的他拿着我的然后现在换电换不了了
chunk2177 有没有符合电池的普通转接线
chunk7912 我这边柜子满了你能把柜子门开一下吗我要存电池
chunk4210 我想租个电池你六十伏伏是什么样的和六十伏MAX是怎么样的
chunk7566 我现在套餐还有二十多天如果想凑多的话他资金够吗
chunk2510 还没补上你给我补上吧
chunk7236 怎么我号码登不上呢
chunk4983 因为是租了电池租的电池还回去了可是我操作没有操作掉我操作不来嘛那怎么现在怎么弄呢我电池我已经还进去了
chunk864 那优惠券现在咋越来越低了呢
chunk5233 我电池被人偷了我现在跑到定位这里来
chunk5721 为什么从我支付宝扣了三百块钱
chunk5803 我旁边这柜子不是有两个柜子有两个空格我看到
chunk8136 电瓶车现在没电了我在柜子旁边我打不开这柜子我想充一下电好吗
chunk3386 我是达达骑手然后有个问题我自己电瓶车坏掉了我今天用了我同事的电瓶车然后现在我没电了你想换块电瓶你先帮我扫一块我先把这对方几单送完可以吗
chunk6474 我插头不一样了我怎么搞
chunk7757 我这边租了一个月然后没有几天给退了
chunk1560 我刚租了个电池它里面没有电线
chunk2773 他柜子我不小心把门关上因为我换了好几次一直换不到电池然后我再把我们的电池放进去它还是没有弹出来我就没有拿出电池就放把门关上了我的电池也取不出来了
chunk4124 我电池没有提成怎么上面就显示电池换不了自动被冻结了我这样
chunk8384 他还是刚才线还是换了个柜子还是不出来啥意思
chunk4573 咱们电池能跑多远
chunk7370 麻烦你帮我转换成四十八伏的
chunk851 我刚账号然后弄换了一下你们换电嘛然后我车我拿了它断电呀我油门拧到底之后它就断电
chunk4617 你寄存换电池是不是还扣超长时间呀
chunk7818 我给你们是充电嘛不是充八小时吗怎么充两三个小时还是几个小时就显示停下了
chunk3364 我以前存电池的那柜子他为什么不给我弹柜子出来不给我弹电池出来我现在手上有单
chunk3804 我是在我们这边充电那上面给我显示一个微信说警告充就充电桩有点异常我过来看了一下这也在充着嘞是异常是什么个情况呀
chunk2538 我电池放在柜子里然后他都拿不出来了
chunk1082 我在你们有充值充了三十块然后呢说想充电充了两次电它显示什么过载
chunk4992 你帮我开下柜门好不好我的手机扫不了因为原来是一下子没有让我老婆我这里来视频我老婆不在老家我在贵阳
chunk7551 已经换好了谢谢
chunk691 就我这对电池套餐不是以前都是每月三百二扣三百二吗这怎么这回这回就三百六了
chunk7713 我上次我电池寄存了以后我有三天二十个小时的时间是寄存了你那边查的吗
chunk3601 我充电器才充十分钟就停掉了然后我重新充又要收钱那怎么处理呢
chunk1851 我去年的时候我不是还有一段时间没用还有半个月没用完嘛为什么还要我重新付了钱之后为啥子还要得有二十九天
chunk2694 这电池柜儿没开呀我这换电池等着急呢
chunk4171 我怎么扫码取不到线材呢
chunk2674 电柜你要后几位
chunk1716 我电池放进去他没给我弹电池出来没给我开柜放进去拿不出来了
chunk6245 我刚才有个异常我给点到了我没看清然后什么异常我的
chunk2236 我充电的电池你帮我取出来一下吧我已经跟他在催了
chunk4611 为什么要充电充到百分百才可以扫这里有两个百分之九十九为什么打不开我现在急着用电呢
chunk3905 我刚才从这里边换电然后电没出了
chunk5322 我想续费一天的怎么没有找到入口
chunk6914 你们这个是平台不好我倒是不差一分几毛咋就一直压着我九毛是咋回事儿
chunk6426 我刚申请了一个账号我已经也通过业务员一定租金都已经给了你看一下
chunk5308 电池被偷了我跟着电池电费到这里找不到电池怎么办呢
chunk4878 线材是怎么取出来
chunk7237 我想要把电池退了但是我点退电池然后他让我扫那码结果那码根本就扫不了打开不了摄像头似的黑的这怎么解决
chunk8390 我现在电池打算寄存几天怎么寄存不了老是失败寄存失败
chunk862 我去年寄存的店现在为什么取不出来呀
chunk6588 他电池能不能退呀
chunk1148 咱这里换电我如果要是在绍兴去租电瓶的话我在杭州市区可不可以用
chunk2448 我们不是那个套餐停用然后缺了个电池然后申请特查
chunk1885 我这边换电的然后他空的柜门老开
chunk3250 江苏省徐州市绥宁县有没有自助换电呀
chunk974 我刚买了你线材我发现你线太短了我都用不了能不能给退一下刚买的
chunk2929 换电柜放电池电池被吞了你们新的电池没打开
chunk8025 我这边跨区的然后我在另外一个城市他这边扫不了电
chunk1343 我电池的实名认证的S伏实名认证没过你帮我看一下什么原因呢
chunk1549 那你帮我搞一下我心态崩了
chunk3767 我新人的优惠券怎么没有到
chunk4130 我这边选择套餐一百块钱的跟三百两百块钱选不了现在只能选九十九的然后刚才打你们客服你们客服人员说是让我把押金退了以后就可以重新选了
chunk6928 刚才是支付宝账号嘛我退套餐
chunk2825 我想换电我扫柜子它就显示无法使用建议我打开首页地图查找周边我就打开找电柜它就一个电柜都没有
chunk5151 这个电我才刚刚用了两天但是我现在因为有点事了我估计以后不送外卖我电换给他钱我可以退掉一些吗
chunk3492 你们能现在能搞出一个六十伏的吧六十伏
chunk4951 想这锂换电套餐的话包月呢按三十天那种算的话如果是说我今天租电池明天没有再去用电池还扣不扣费用呢
chunk440 放电池放进去了没有弹出来
chunk8379 我早上刚购买的套餐我用不了我现在想要退款
chunk3153 我刚换了电瓶但是他怎么就换电不成功我电瓶已经放了进去了
chunk2588 我这边充电小斑马怎么现在用不了了
chunk4818 我暂停套餐的天数扣天数你们是根据什么扣的呀
chunk5679 我寄存的电池为什么没有成功
chunk6286 我电瓶换了之后他不开
chunk5174 换电我已经打了好几个电话了好几个电话是我要退押金退电池押金
chunk1289 我换电了电池放进去了它显示我不出来呀放进去了
chunk7457 我电池就我本人不在那里但是如果我朋友去还的话怎么还
chunk8107 这锂换电免费寄存的话可以寄存多少天
chunk8035 电动车充电是你们公司的
chunk5073 之前经常换电的地方今天早上扫码之后怎么需要连接蓝牙呀
chunk3288 我电池放进去它弹不出来了
chunk970 我是使用充电桩为什么它老是断呢它老是给我退款呢充不上电
chunk1093 我电池没有弹出来呀怎么整
chunk7324 我刚才在这买了一根线线没有出来
chunk4195 你六十普通和六十max有啥区别他俩
chunk2321 我刚才弄订单我弄错了可以帮我退掉吗我把那个弄回去然后重新退掉重新再弄
